at32uc3a0512,uc3a0512,AT32UC3A0512
at90can128,c128,AT90CAN128
at90can32,c32,AT90CAN32
at90can64,c64,AT90CAN64
at90pwm2,pwm2,AT90PWM2
at90pwm2b,pwm2b,AT90PWM2B
at90pwm3,pwm3,AT90PWM3
at90pwm316,pwm316,AT90PWM316
at90pwm3b,pwm3b,AT90PWM3B
at90s1200,1200,AT90S1200
at90s2313,2313,AT90S2313
at90s2333,2333,AT90S2333
at90s2343,2343,AT90S2343
at90s4414,4414,AT90S4414
at90s4433,4433,AT90S4433
at90s4434,4434,AT90S4434
at90s8515,8515,AT90S8515
at90s8535,8535,AT90S8535
at90usb1286,usb1286,AT90USB1286
at90usb1287,usb1287,AT90USB1287
at90usb162,usb162,AT90USB162
at90usb646,usb646,AT90USB646
at90usb647,usb647,AT90USB647
at90usb82,usb82,AT90USB82
atmega103,m103,ATmega103
atmega128,m128,ATmega128
atmega1280,m1280,ATmega1280
atmega1281,m1281,ATmega1281
atmega1284p,m1284p,ATmega1284P
atmega1284rfr2,m1284rfr2,ATmega1284RFR2
atmega128rfa1,m128rfa1,ATmega128RFA1
atmega128rfr2,m128rfr2,ATmega128RFR2
atmega16,m16,ATmega16
atmega161,m161,ATmega161
atmega162,m162,ATmega162
atmega163,m163,ATmega163
atmega164p,m164p,ATmega164P
atmega168,m168,ATmega168
atmega168p,m168p,ATmega168P
atmega169,m169,ATmega169
atmega16u2,m16u2,ATmega16U2
atmega2560,m2560,ATmega2560
atmega2561,m2561,ATmega2561
atmega2564rfr2,m2564rfr2,ATmega2564RFR2
atmega256rfr2,m256rfr2,ATmega256RFR2
atmega32,m32,ATmega32
atmega324p,m324p,ATmega324P
atmega324pa,m324pa,ATmega324PA
atmega325,m325,ATmega325
atmega3250,m3250,ATmega3250
atmega328,m328,ATmega328
atmega328p,m328p,ATmega328P
atmega329,m329,ATmega329
atmega3290,m3290,ATmega3290
atmega3290p,m3290p,ATmega3290P
atmega329p,m329p,ATmega329P
atmega32u2,m32u2,ATmega32U2
atmega32u4,m32u4,ATmega32U4
atmega406,m406,ATMEGA406
atmega48,m48,ATmega48
atmega48p,m48p,ATmega48P
atmega64,m64,ATmega64
atmega640,m640,ATmega640
atmega644,m644,ATmega644
atmega644p,m644p,ATmega644P
atmega644rfr2,m644rfr2,ATmega644RFR2
atmega645,m645,ATmega645
atmega6450,m6450,ATmega6450
atmega649,m649,ATmega649
